VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2023-02-01 00:11:39,2023-02-01 00:19:29,1.0,2.39,1.0,N,163,113,2,12.1,1.0,0.5,0.0,0.0,1.0,17.1,2.5,0.0
2,2023-02-01 00:50:29,2023-02-01 01:22:05,5.0,20.32,2.0,N,132,238,1,70.0,0.0,0.5,16.36,6.55,1.0,98.16,2.5,1.25
1,2023-02-01 00:06:45,2023-02-01 00:18:52,1.0,1.1,1.0,N,162,140,1,11.4,2.5,0.5,3.05,0.0,1.0,18.45,2.5,0.0
2,2023-02-01 00:15:24,2023-02-01 00:25:36,2.0,2.09,1.0,N,162,50,1,12.1,1.0,0.5,1.0,0.0,1.0,18.1,2.5,0.0
2,2023-02-01 00:33:08,2023-02-01 00:37:28,1.0,1.39,1.0,N,230,164,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0
2,2023-02-01 00:40:52,2023-02-01 00:44:32,1.0,0.73,1.0,N,100,170,1,5.8,1.0,0.5,2.7,0.0,1.0,13.5,2.5,0.0
2,2023-02-01 00:22:20,2023-02-01 00:52:30,1.0,18.25,2.0,N,132,230,1,70.0,0.0,0.5,16.11,6.55,1.0,97.91,2.5,1.25
2,2023-02-01 00:50:07,2023-02-01 00:58:23,1.0,2.39,1.0,N,230,238,4,-12.1,-1.0,-0.5,0.0,0.0,-1.0,-17.1,-2.5,0.0
2,2023-02-01 00:50:07,2023-02-01 00:58:23,1.0,2.39,1.0,N,230,238,4,12.1,1.0,0.5,0.0,0.0,1.0,17.1,2.5,0.0
1,2023-02-01 00:23:15,2023-02-01 00:53:11,1.0,15.7,1.0,N,132,123,1,60.4,2.25,0.5,5.0,0.0,1.0,69.15,0.0,1.25
2,2023-02-01 00:02:13,2023-02-01 00:17:17,1.0,4.67,1.0,N,100,13,1,21.2,1.0,0.5,5.24,0.0,1.0,31.44,2.5,0.0
2,2023-02-01 00:17:35,2023-02-01 00:56:54,1.0,14.13,1.0,N,140,215,1,59.0,1.0,0.5,12.8,0.0,1.0,76.8,2.5,0.0
1,2023-02-01 00:17:43,2023-02-01 00:29:04,1.0,6.0,1.0,N,75,4,2,24.7,3.5,0.5,0.0,0.0,1.0,29.7,2.5,0.0
1,2023-02-01 00:38:37,2023-02-01 00:43:33,1.0,1.7,1.0,N,125,68,1,9.3,3.5,0.5,2.85,0.0,1.0,17.15,2.5,0.0
1,2023-02-01 00:37:53,2023-02-01 00:46:36,1.0,2.4,1.0,N,249,161,1,12.1,3.5,0.5,2.0,0.0,1.0,19.1,2.5,0.0
1,2023-02-01 00:50:27,2023-02-01 01:00:10,1.0,1.7,1.0,N,164,224,1,11.4,3.5,0.5,2.0,0.0,1.0,18.4,2.5,0.0
